seq,fold,mfe1,mfe2,icshape,binding,rpkm,relatelen,utrrate,predicted_score
0.2449117,0.10148394,0.018912861,0.056972954,0.0,0.5288581,9.161235e-06,0.009610513,0.039240755,0.04069627
0.17369477,0.105330296,0.004170282,0.029403964,0.0,0.6514962,9.279112e-06,0.0075291526,0.028366072,0.05622358
0.23072048,0.06915077,0.11123518,0.17577241,0.0,0.37681878,3.2906848e-06,0.010382031,0.025917044,0.045302823
0.3270824,0.037930056,0.071566604,0.22694328,0.0,0.30391604,3.4114728e-06,0.004945486,0.027612675,0.023404263
0.26162463,0.047899567,0.06255881,0.036761858,0.0,0.53732747,2.4159233e-06,0.00783891,0.04598643,0.07358871
0.2629071,0.08570428,0.0054867533,0.12958442,0.0,0.46028674,4.069851e-06,0.008890631,0.04713616,-0.019241259
0.26059744,0.07508142,0.017314758,0.17004724,0.0,0.43050033,3.1528584e-06,0.01051237,0.03594334,-0.17614448
0.2536076,0.08434141,0.052939188,0.058583517,0.0,0.50437677,2.4330038e-06,0.011969075,0.034180004,-0.00062423944
0.3304616,0.05393595,0.06640535,0.1435423,0.0,0.36516583,1.960801e-06,0.008240118,0.03224685,0.0040605813
0.29128787,0.0589278,0.09578359,0.1433735,0.0,0.37725678,1.6339401e-06,0.009733041,0.023635786,0.020196304
0.37201607,0.067463726,0.0046177558,0.1882852,0.0,0.33133623,9.2056655e-07,0.008739463,0.027540613,-0.12224516
0.34093246,0.062430814,0.015743593,0.112613834,0.0,0.41284734,1.0939721e-06,0.009186906,0.046243917,-0.028129343
0.33815402,0.055872846,0.01568412,0.1923445,0.0,0.35611787,3.717688e-06,0.008791495,0.033031493,-0.04356172
0.2951242,0.10098669,0.021726139,0.19975738,0.0,0.33182326,3.7126783e-06,0.008279258,0.04229928,-0.1707403
0.32578456,0.06335929,0.0076390407,0.08826624,0.0,0.46701834,6.1449045e-06,0.011526816,0.036399603,-0.38073343
0.32077497,0.10188759,0.011972146,0.10603934,0.0,0.403017,9.246222e-09,0.011219152,0.045089774,-0.021609895
0.2804567,0.082313806,0.006575955,0.15925407,0.0,0.41325906,2.4289475e-06,0.012317581,0.04582041,-0.11316457
0.25647953,0.07021906,0.039694853,0.23407714,0.0,0.35014993,1.3451094e-06,0.009630734,0.039747365,-0.22447112
0.26284647,0.07910408,0.039396286,0.18106961,0.0,0.40501916,3.5711168e-06,0.008069505,0.024491262,-0.059788883
0.25447187,0.029348303,0.040193293,0.15228261,0.0,0.4881425,8.3519035e-06,0.012188794,0.02336422,0.035715245
0.2332468,0.048571706,0.068537295,0.22495256,0.0,0.40039265,9.230946e-06,0.008212157,0.016077597,0.050461963
0.27780062,0.041144177,0.08383143,0.2509679,0.0,0.3181986,9.988168e-06,0.0050764736,0.022970794,0.034991235
0.27503374,0.07530077,0.08842272,0.15987478,0.0,0.37407395,1.1924127e-05,0.0078939935,0.019388115,0.04137919
0.31771362,0.08873962,0.024050277,0.14997008,0.0,0.38254035,6.5643676e-06,0.006283788,0.03069566,0.0463844
0.31301707,0.06822748,0.032890152,0.1357493,0.0,0.41317406,3.290714e-06,0.008326387,0.02861228,0.027092062
0.2778741,0.052495737,0.049282305,0.11489847,0.0,0.46160835,1.2991939e-06,0.011575432,0.032264285,0.049102493
0.34387472,0.07829657,0.008300321,0.18360926,0.0,0.35133162,9.142231e-07,0.0063161035,0.028270502,-0.13071
0.31817412,0.06704915,0.002253881,0.16060676,0.0,0.4131993,1.1458258e-06,0.010034499,0.028680993,-0.016688388
0.24049534,0.077039786,0.024676157,0.21014173,0.0,0.4138374,1.5020507e-06,0.0073510786,0.02645708,-0.008348811
0.24693461,0.107897975,0.06719909,0.08541457,0.0,0.44187462,3.6004883e-06,0.010576588,0.04009894,0.024131916
0.2485921,0.10011688,0.027705621,0.18259633,0.0,0.39468294,2.4852586e-06,0.009623809,0.036679886,-0.08963153
0.22187088,0.08534404,0.04020906,0.14975879,0.0,0.46640733,2.2190775e-07,0.010074154,0.026335549,-0.09780875
0.24333875,0.093748085,0.045845833,0.1459775,0.0,0.43161738,9.272695e-07,0.010430175,0.029041314,-0.090838656
